{massXs[i]} {massYs[i]} {best_scores[i]} {best_sig2bkgs[i]} {best_sigEffs[i]} {best_bkgEffs[i]} {best_QCDEffs[i]} {best_TTBar_Effs[i]}
2500 200 0.95 22303.896099796588 0.6342380951535185 0.002177805392918696 nan 0.002177805392918696
1000 300 0.9100000000000001 4.195861935237839 0.2750446013797451 0.007818847524579835 nan 0.007818847524579835
1200 600 -1.0 0.0 nan nan nan nan
600 80 -1.0 0.0 nan 1.0 nan 1.0
1800 95 0.94 15241.738758771275 0.597706613453966 0.0024926423637018167 nan 0.0024926423637018167
600 200 -1.0 0.0 nan 1.0 nan 1.0
1000 200 0.96 99.21522163272901 0.2867731563818423 0.002139189177314844 nan 0.002139189177314844
1400 600 -1.0 0.0 nan nan nan nan
1000 500 -1.0 0.0 nan nan nan nan
900 600 -1.0 0.0 nan nan nan nan
1200 95 0.94 3146.2292443330703 0.423994338037783 0.0034343335065883385 nan 0.0034343335065883385
400 95 -1.0 0.0 nan nan nan nan
2500 600 -1.0 327.2235695425967 1.0 1.0 nan 1.0
2000 500 -0.41000000000000003 225.113527869219 0.7977447644842609 0.0981688769114997 nan 0.0981688769114997
1200 200 0.98 1346.8709253919405 0.24132705658403786 0.0007405453270062619 nan 0.0007405453270062619
3000 1200 -1.0 0.0 nan nan nan nan
900 80 -0.36 113.82272825432696 0.647360424366302 0.022254104340298838 nan 0.022254104340298838
1200 90 0.94 3137.2302525717405 0.43354177635726426 0.0035010040296923036 nan 0.0035010040296923036
1200 60 0.99 5130.336126375538 0.15329426786099887 0.0 nan 0.0
400 200 -1.0 0.0 nan nan nan nan
2000 60 0.9100000000000001 32194.977166732628 0.7257669871674238 0.0006187464026336492 nan 0.0006187464026336492
400 90 -1.0 0.0 nan nan nan nan
4000 70 0.8800000000000001 62860.373622306084 0.8226910306663403 0.0 nan 0.0
1800 1600 -1.0 0.0 nan nan nan nan
700 300 -1.0 0.0 nan 1.0 nan 1.0
900 400 -1.0 0.0 nan nan nan nan
700 500 -1.0 0.0 nan nan nan nan
2000 200 0.97 14223.117656046776 0.5568598430378575 0.0011952494415008372 nan 0.0011952494415008372
2000 90 0.94 19954.189054940816 0.6166744034840999 0.002205282572258946 nan 0.002205282572258946
1800 90 0.95 14921.734476649459 0.5685306469235452 0.0020936819943953295 nan 0.0020936819943953295
900 300 -0.7 0.36335373733622855 1.0 0.7853381645985665 nan 0.7853381645985665
550 80 -1.0 0.0 nan 1.0 nan 1.0
550 300 -1.0 0.0 nan nan nan nan
800 90 0.7 14.368090435827439 0.7966620429242367 0.0 nan 0.0
